iter	Passed	Remaining
0	1	132
1	2	117
2	3	103
3	4	96
4	4	91
5	5	87
6	6	85
7	7	84
8	8	85
9	9	85
10	10	83
11	11	81
12	11	79
13	12	77
14	13	75
15	14	74
16	15	74
17	16	75
18	17	74
19	18	73
20	19	71
21	19	70
22	20	69
23	21	67
24	22	67
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	35	53
40	37	53
41	37	51
42	38	51
43	39	50
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	56	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	67	24
73	68	24
74	69	23
75	70	22
76	70	21
77	71	20
78	72	19
79	74	18
80	75	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	92	0
