iter	Passed	Remaining
0	153	153407
1	155	77426
2	156	52092
3	158	39455
4	160	31878
5	161	26805
6	163	23180
7	165	20520
8	167	18410
9	168	16717
10	170	15317
11	172	14181
12	173	13186
13	175	12331
14	176	11611
15	178	10987
16	180	10422
17	181	9912
18	183	9451
19	184	9035
20	186	8674
21	187	8340
22	189	8028
23	190	7745
24	192	7491
25	193	7257
26	195	7037
27	196	6830
28	198	6643
29	200	6474
30	201	6312
31	203	6159
32	205	6018
33	207	5884
34	208	5759
35	210	5635
36	212	5519
37	213	5407
38	215	5307
39	216	5205
40	218	5109
41	219	5014
42	221	4939
43	223	4859
44	225	4780
45	226	4706
46	228	4638
47	230	4571
48	231	4500
49	233	4432
50	234	4370
51	236	4314
52	238	4257
53	239	4204
54	241	4149
55	243	4103
56	244	4050
57	246	3998
58	247	3950
59	249	3904
60	250	3862
61	252	3821
62	253	3776
63	255	3740
64	257	3706
65	259	3672
66	261	3636
67	262	3599
68	264	3564
69	265	3532
70	267	3499
71	268	3467
72	270	3437
73	272	3407
74	273	3378
75	275	3352
76	277	3327
77	279	3305
78	281	3282
79	283	3260
80	285	3237
81	286	3212
82	288	3183
83	289	3161
84	291	3141
85	293	3118
86	295	3101
87	297	3082
88	299	3061
89	300	3040
90	303	3031
91	305	3015
92	307	2998
93	309	2985
94	311	2968
95	313	2948
96	314	2929
97	316	2913
98	318	2896
99	319	2879
100	321	2860
101	322	2843
102	324	2827
103	326	2811
104	327	2794
105	329	2777
106	330	2761
107	332	2746
108	334	2731
109	335	2717
110	337	2701
111	338	2687
112	340	2673
113	342	2661
114	343	2647
115	345	2632
116	346	2617
117	348	2605
118	350	2592
119	351	2578
120	353	2565
121	354	2554
122	356	2541
123	357	2528
124	359	2516
125	361	2504
126	362	2491
127	364	2480
128	365	2469
129	367	2457
130	368	2447
131	371	2441
132	372	2431
133	374	2419
134	376	2409
135	377	2399
136	379	2388
137	380	2377
138	382	2366
139	383	2357
140	385	2348
141	386	2336
142	388	2326
143	389	2317
144	391	2309
145	393	2300
146	394	2291
147	396	2280
148	397	2272
149	400	2266
150	401	2257
151	403	2248
152	404	2238
153	406	2233
154	408	2225
155	410	2218
156	411	2209
157	413	2203
158	415	2196
159	416	2188
160	417	2177
161	419	2169
162	421	2162
163	422	2154
164	424	2146
165	425	2138
166	427	2130
167	428	2123
168	430	2116
169	431	2108
170	433	2100
171	434	2093
172	436	2086
173	438	2079
174	439	2073
175	441	2065
176	442	2058
177	444	2052
178	446	2046
179	447	2039
180	449	2032
181	450	2026
182	452	2020
183	453	2013
184	455	2006
185	456	1998
186	458	1993
187	460	1988
188	461	1982
189	463	1975
190	465	1972
191	467	1966
192	468	1960
193	470	1955
194	472	1949
195	474	1945
196	476	1940
197	477	1934
198	479	1928
199	480	1923
200	482	1917
201	484	1912
202	485	1906
203	487	1901
204	489	1897
205	490	1890
206	492	1884
207	493	1879
208	495	1874
209	497	1869
210	498	1864
211	499	1857
212	501	1852
213	503	1848
214	504	1843
215	506	1838
216	508	1833
217	510	1829
218	511	1825
219	513	1820
220	515	1816
221	517	1814
222	519	1810
223	521	1807
224	523	1803
225	525	1800
226	527	1796
227	529	1792
228	530	1787
229	532	1784
230	534	1779
231	536	1775
232	538	1772
233	540	1769
234	541	1764
235	543	1759
236	545	1754
237	547	1751
238	548	1747
239	550	1743
240	552	1738
241	553	1734
242	555	1731
243	557	1727
244	559	1722
245	560	1718
246	562	1715
247	564	1710
248	565	1706
249	567	1701
250	568	1697
251	570	1693
252	572	1689
253	573	1685
254	575	1680
255	577	1677
256	578	1673
257	580	1668
258	581	1664
259	583	1659
260	584	1656
261	586	1652
262	588	1648
263	589	1643
264	591	1640
265	592	1636
266	594	1632
267	596	1628
268	597	1624
269	599	1621
270	601	1617
271	602	1613
272	604	1609
273	606	1605
274	607	1602
275	609	1598
276	611	1594
277	612	1591
278	614	1588
279	616	1584
280	617	1581
281	619	1577
282	621	1574
283	622	1570
284	624	1567
285	626	1563
286	627	1559
287	629	1556
288	631	1552
289	632	1549
290	634	1545
291	635	1540
292	637	1537
293	639	1534
294	640	1531
295	642	1527
296	644	1524
297	645	1521
298	647	1517
299	648	1514
300	650	1511
301	652	1509
302	654	1505
303	655	1501
304	657	1498
305	659	1495
306	660	1491
307	662	1487
308	663	1484
309	665	1481
310	667	1478
311	668	1474
312	670	1471
313	672	1468
314	673	1464
315	675	1461
316	676	1458
317	678	1455
318	679	1451
319	681	1448
320	683	1445
321	684	1442
322	686	1439
323	688	1436
324	690	1433
325	691	1429
326	693	1427
327	694	1423
328	696	1421
329	698	1418
330	699	1414
331	701	1411
332	703	1408
333	704	1405
334	706	1402
335	707	1398
336	709	1395
337	711	1393
338	712	1389
339	714	1387
340	715	1383
341	717	1380
342	719	1377
343	720	1374
344	722	1371
345	723	1368
346	725	1365
347	727	1362
348	728	1359
349	730	1355
350	731	1353
351	733	1350
352	735	1347
353	736	1343
354	737	1340
355	739	1337
356	741	1335
357	742	1332
358	744	1329
359	745	1326
360	747	1323
361	749	1320
362	750	1317
363	752	1314
364	754	1311
365	755	1309
366	757	1306
367	758	1303
368	760	1301
369	762	1299
370	764	1296
371	766	1293
372	767	1290
373	769	1288
374	771	1285
375	772	1282
376	774	1279
377	775	1276
378	777	1274
379	779	1271
380	780	1268
381	782	1265
382	783	1262
383	785	1259
384	787	1257
385	788	1254
386	790	1251
387	791	1248
388	793	1246
389	794	1243
390	796	1240
391	798	1238
392	800	1235
393	801	1232
394	803	1230
395	804	1227
396	806	1224
397	808	1222
398	809	1219
399	811	1216
400	812	1213
401	814	1211
402	816	1209
403	817	1206
404	819	1203
405	820	1200
406	822	1198
407	824	1195
408	825	1193
409	827	1190
410	828	1187
411	830	1185
412	832	1183
413	834	1180
414	835	1178
415	837	1175
416	839	1173
417	840	1170
418	842	1167
419	843	1165
420	845	1163
421	847	1160
422	848	1157
423	850	1155
424	852	1152
425	853	1150
426	855	1147
427	856	1144
428	858	1142
429	859	1139
430	861	1137
431	863	1134
432	864	1132
433	865	1129
434	867	1126
435	869	1124
436	871	1122
437	872	1119
438	874	1117
439	875	1114
440	877	1112
441	878	1109
442	880	1106
443	881	1104
444	883	1101
445	885	1099
446	886	1096
447	888	1094
448	890	1092
449	892	1090
450	893	1087
451	894	1084
452	896	1082
453	898	1080
454	899	1077
455	901	1075
456	902	1072
457	904	1070
458	906	1068
459	907	1065
460	909	1062
461	910	1060
462	912	1057
463	913	1055
464	914	1052
465	916	1050
466	917	1047
467	919	1045
468	921	1042
469	922	1040
470	924	1037
471	925	1035
472	927	1033
473	928	1030
474	930	1028
475	931	1025
476	933	1023
477	935	1021
478	936	1018
479	938	1016
480	939	1013
481	941	1011
482	942	1009
483	944	1006
484	945	1004
485	946	1001
486	948	999
487	950	997
488	951	994
489	953	992
490	954	989
491	956	987
492	958	985
493	959	983
494	961	980
495	962	978
496	964	976
497	966	973
498	967	971
499	968	968
500	970	966
501	972	964
502	973	962
503	975	959
504	976	957
505	978	955
506	979	952
507	981	950
508	982	948
509	984	945
510	986	943
511	987	941
512	989	939
513	990	936
514	992	934
515	994	932
516	995	930
517	997	927
518	998	925
519	1000	923
520	1001	920
521	1003	918
522	1004	916
523	1006	914
524	1008	912
525	1010	910
526	1011	907
527	1013	905
528	1014	903
529	1016	901
530	1018	899
531	1019	896
532	1021	894
533	1023	892
534	1024	890
535	1026	888
536	1027	886
537	1029	884
538	1031	881
539	1032	879
540	1034	877
541	1036	875
542	1037	873
543	1039	871
544	1041	869
545	1042	866
546	1044	864
547	1046	863
548	1048	861
549	1050	859
550	1065	868
551	1067	866
552	1069	864
553	1071	862
554	1072	860
555	1074	858
556	1076	856
557	1079	855
558	1081	852
559	1083	851
560	1086	850
561	1088	848
562	1090	846
563	1092	844
564	1094	842
565	1095	840
566	1098	838
567	1100	837
568	1102	834
569	1104	832
570	1106	831
571	1108	829
572	1109	827
573	1111	824
574	1113	823
575	1116	821
576	1117	819
577	1119	817
578	1121	815
579	1122	813
580	1124	810
581	1126	808
582	1127	806
583	1129	804
584	1131	802
585	1133	800
586	1135	798
587	1137	796
588	1139	794
589	1141	793
590	1143	791
591	1146	789
592	1147	787
593	1149	786
594	1151	783
595	1153	781
596	1154	779
597	1156	777
598	1158	775
599	1160	773
600	1162	771
601	1164	769
602	1165	767
603	1167	765
604	1169	763
605	1170	761
606	1172	759
607	1174	757
608	1176	755
609	1177	752
610	1179	750
611	1181	748
612	1182	746
613	1184	744
614	1186	742
615	1188	740
616	1190	738
617	1191	736
618	1193	734
619	1195	732
620	1196	730
621	1198	728
622	1200	726
623	1201	724
624	1204	722
625	1205	720
626	1207	718
627	1209	716
628	1211	714
629	1212	712
630	1214	710
631	1215	707
632	1217	705
633	1219	703
634	1220	701
635	1222	699
636	1223	697
637	1225	695
638	1226	693
639	1228	690
640	1229	688
641	1231	686
642	1233	684
643	1234	682
644	1236	680
645	1238	678
646	1239	676
647	1241	674
648	1243	672
649	1244	670
650	1246	668
651	1248	666
652	1249	664
653	1251	662
654	1253	660
655	1255	658
656	1256	656
657	1258	653
658	1259	651
659	1261	649
660	1263	647
661	1264	645
662	1266	643
663	1267	641
664	1270	640
665	1272	638
666	1273	635
667	1275	633
668	1276	631
669	1278	629
670	1280	627
671	1281	625
672	1283	623
673	1285	621
674	1286	619
675	1288	617
676	1290	615
677	1291	613
678	1293	611
679	1294	609
680	1296	607
681	1297	605
682	1299	603
683	1300	601
684	1302	598
685	1303	596
686	1305	594
687	1307	592
688	1309	590
689	1310	588
690	1312	586
691	1313	584
692	1315	582
693	1316	580
694	1318	578
695	1320	576
696	1321	574
697	1323	572
698	1324	570
699	1326	568
700	1328	566
701	1330	564
702	1331	562
703	1333	560
704	1335	558
705	1336	556
706	1338	554
707	1340	552
708	1342	551
709	1344	549
710	1346	547
711	1347	545
712	1349	543
713	1350	541
714	1352	539
715	1354	537
716	1356	535
717	1357	533
718	1359	531
719	1360	529
720	1362	527
721	1364	525
722	1365	523
723	1367	521
724	1369	519
725	1371	517
726	1372	515
727	1374	513
728	1375	511
729	1377	509
730	1378	507
731	1380	505
732	1382	503
733	1383	501
734	1385	499
735	1387	497
736	1389	495
737	1390	493
738	1392	491
739	1393	489
740	1395	487
741	1397	485
742	1398	483
743	1399	481
744	1401	479
745	1403	477
746	1404	475
747	1406	473
748	1407	471
749	1409	469
750	1411	467
751	1412	465
752	1414	463
753	1415	461
754	1417	459
755	1418	457
756	1420	455
757	1421	453
758	1423	451
759	1425	450
760	1426	448
761	1428	446
762	1429	444
763	1431	442
764	1433	440
765	1434	438
766	1436	436
767	1437	434
768	1439	432
769	1441	430
770	1442	428
771	1444	426
772	1445	424
773	1447	422
774	1449	420
775	1450	418
776	1452	416
777	1453	414
778	1455	412
779	1456	410
780	1458	408
781	1459	407
782	1461	405
783	1463	403
784	1465	401
785	1466	399
786	1468	397
787	1470	395
788	1471	393
789	1473	391
790	1474	389
791	1476	387
792	1477	385
793	1479	383
794	1481	381
795	1482	380
796	1484	378
797	1486	376
798	1487	374
799	1489	372
800	1491	370
801	1492	368
802	1494	366
803	1495	364
804	1497	362
805	1499	360
806	1501	359
807	1502	357
808	1504	355
809	1505	353
